#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference Comment	Hypothetical Only
Hazael of Aram	1	Male				2KI 8:9 <-(2 more)-> 2KI 8:14	False
head	1	Neuter				1CO 12:21	True
heads of all the families	-1	Male					False
hearers	-1					ISA 28:9 & ISA 28:10	False
herald	1	Male				DAN 3:4 <-(1 more)-> DAN 3:6	False
herdsman	1	Male				GEN 26:20	False
herdsmen of pigs	-1	Male				MAT 8:33 <-(2 more)-> LUK 8:36	False
Herod Antipas (the tetrarch)	1	Male				MAT 14:2 <-(11 more)-> LUK 23:8	False
Herod the Great	1	Male				MAT 2:4 <-(2 more)-> MAT 2:16	False
Herodias	1	Female				MAT 14:8 & MRK 6:24	False
Herodias' daughter	1	Female				MAT 14:8 <-(1 more)-> MRK 6:25	False
Hezekiah, king of Judah	1	Male				2KI 18:14 <-(50 more)-> ISA 39:8	False
high priest	1	Male			Not a particular (historical) high priest, but rather an arbitrary (hypothetical) holder of that office	HEB 9:7	False
high priest's servant (relative of the man whose ear Peter cut off)	1	Male				JHN 18:26	False
Hilkiah, high priest	1	Male				2KI 22:8 & 2CH 34:15	False
him who hears	1	Male				REV 22:17	False
Hirah, the Adullamite	1	Male				GEN 38:21 & GEN 38:22	False
Hiram, king of Tyre	1	Male				1KI 5:7 <-(8 more)-> 2CH 2:16	False
Hittites	-1	Male				GEN 23:6	False
Hobab, Moses brother-in-law	1	Male				NUM 10:30	False
holy one (in vision)	1	Male				DAN 8:14	False
Holy Spirit, the	1	Male		Y		LUK 2:26 <-(5 more)-> REV 14:13	False
horseman, first	1	Male				2KI 9:18	False
horseman, second	1	Male				2KI 9:19	False
horses (in vision)	-1	PreferMale				ZEC 1:11	False
Hosea	1	Male				HOS 3:3	False
house of Aaron, the	-1	Male				PSA 118:3	True
Huldah, prophetess	1	Female				2KI 22:15 <-(10 more)-> 2CH 34:28	False
husband accusing wife	1		Adult			DEU 22:14	True
husband of excellent wife	-1		Adult			PRO 31:29	True
husband of Shunammite	1	Male				2KI 4:19 & 2KI 4:23	False
Hushai, David's friend	1	Male				2SA 16:16 <-(10 more)-> 2SA 17:16	False
hymn, early creedal	1	PreferMale				1TI 3:16	False
idolaters from Judah (men)	-1	Male				JER 44:16 <-(1 more)-> JER 44:18	False
idolaters from Judah (women)	-1	Female				JER 44:19	False
immoral woman	1	Female				PRO 7:14 <-(5 more)-> PRO 7:20	False
informer	-1	PreferMale				JDG 15:6 <-(9 more)-> ACT 21:31	False
inscription on forehead of Babylon	1	PreferFemale				REV 17:5	False
invaders	-1	Male				JER 6:4 & JER 6:5	True
invalid for 38 years	1	Male				JHN 5:7 <-(1 more)-> JHN 5:15	False
Irijah, captain of the guard of Judah	1	Male				JER 37:13	False
Isaac	1	Male	Adult			GEN 22:7 <-(5 more)-> HEB 11:20	False
Isaac (old)	1	Male	Elder			GEN 27:1 <-(23 more)-> GEN 28:6	False
Isaiah	1	Male				2KI 19:6 <-(111 more)-> ISA 44:23	False
Ish-Bosheth, son of Saul	1	Male				2SA 3:7	False
Ishmael, son of Nethaniah (murderer)	1	Male				JER 41:6	False
islanders	-1					ISA 41:6	False
Israel	-1					NUM 21:17 <-(51 more)-> MAL 1:2	False
Israel, all	-1					1SA 12:4 <-(5 more)-> 2CH 10:16	False
Israel, all the tribes	-1	Male				2SA 5:1 & 2SA 5:2	False
Israel, leaders of	-1	Male				JOS 9:19 <-(1 more)-> JOS 9:21	False
Israel, men of	-1	Male				JOS 9:7 <-(1 more)-> 2SA 19:43	False
Israelite army commanding officers	-1	Male				NUM 31:49 & NUM 31:50	False
Israelite assembly	-1	Male				JDG 21:10 & JDG 21:11	False
Israelite assembly, elders of	-1	Male	Elder			JDG 21:16 <-(5 more)-> JDG 21:22	False
Israelite community	-1					NUM 14:2 <-(4 more)-> PSA 78:20	False
Israelite fighting men	-1	Male				JDG 7:20	False
Israelite foremen	-1	Male				EXO 5:15 <-(1 more)-> EXO 5:21	False
Israelite officers	-1	Male				JOS 3:3 & JOS 3:4	False
Israelite soldier in Saul's army	1	Male				1SA 14:28	False
Israelite spies from house of Joseph	-1	Male				JDG 1:24	False
Israelite spies from Joshua, two men	2	Male				JOS 2:14 <-(4 more)-> JOS 2:24	False
Israelite spies Joshua sent to Ai	-1	Male	Adult			JOS 7:3	False
Israelites	-1					EXO 14:11 <-(57 more)-> 1SA 11:12	False
Israelites (excluding Benjamites)	-1	Male				JDG 20:23 & JDG 20:28	False
Israelites (soldiers)	-1	Male				1SA 14:36 <-(2 more)-> 1SA 17:25	False
Israelites, some	-1	Male				NUM 9:7	False
Ittai	1	Male				2SA 15:21	False
Jabez	1	Male				1CH 4:10	False
Jabez's mother	1	Female				1CH 4:9	False
Jacob (Israel)	1	Male				GEN 25:31 <-(142 more)-> GEN 49:32	False
Jacob's son (one who discovered his silver in his sack)	1	Male			Not Simeon, Joseph, or Benjamin	GEN 42:28	False
Jacob's sons	10	Male			Not Joseph or Banjamin	GEN 37:19 <-(9 more)-> GEN 44:9	False
Jacob's sons (not Simeon, Joseph, or Benjamin)	9	Male				GEN 42:28 <-(11 more)-> GEN 44:8	False
Jael	1	Female				JDG 4:18 & JDG 4:22	False
Jahaziel (Spirit of the Lord on)	1	Male				2CH 20:15 <-(1 more)-> 2CH 20:17	False
jailer in Philippi	1	Male				ACT 16:27 <-(2 more)-> ACT 16:36	False
Jairus (synagogue leader)	1	Male				MAT 9:18 <-(1 more)-> LUK 8:41	False
James, the disciple	1	Male			Do not confuse with James (the brother of Jesus and author of the book of James)		False
James	1	Male			The brother of Jesus and author of the book of James	ACT 15:13 <-(7 more)-> ACT 15:21	False
Jebusites	-1	Male				2SA 5:6 <-(1 more)-> 1CH 11:5	False
Jehizkiah	1	Male			leader in Ephraim		False
Jehoash, king of Israel	1	Male				2KI 13:14 <-(3 more)-> 2CH 25:19	False
Jehoiada the priest	1	Male				2KI 11:5 <-(9 more)-> 2CH 23:14	False
Jehoiada's sons	-1	Male					False
Jehonadab, son of Recab	1	Male				2KI 10:15	False
Jehoshaphat, king of Judah	1	Male				1KI 22:4 <-(23 more)-> 2CH 20:20	False
Jehu, son of Hanani	1	Male				2CH 19:2 & 2CH 19:3	False
Jehu, son of Nimshi	1	Male				2KI 9:5 <-(30 more)-> 2KI 10:25	False
Jehucal	1	Male			son of Shelemiah		False
Jehudi	1	Male				JER 36:14	False
Jephthah	1	Male				JDG 11:7 <-(6 more)-> JDG 12:3	False
Jephthah's daughter	1	Female	YoungAdult		youth	JDG 11:36 & JDG 11:37	False
Jephthah's half-brothers	-1	Male				JDG 11:2	False
Jeremiah	1	Male				JER 1:6 <-(278 more)-> LAM 3:56	False
Jeremiah's enemies	-1	Male				JER 11:19 <-(2 more)-> JER 20:10	False
Jeroboam	1	Male				1KI 12:26 <-(6 more)-> 1KI 14:3	False
Jeshua	1	Male					False
Jesse	1	Male				1SA 16:11 <-(2 more)-> 1SA 17:19	False
Jesus	1	Male	Adult	Y		MAT 3:15 <-(2104 more)-> REV 22:20	False
Jesus (child)	1	Male	Child	Y	youth (12)	LUK 2:49	False
Jesus' brothers	4	Male				JHN 7:3 & JHN 7:4	False
Jesus' family	-1	Either				MAT 12:46 <-(1 more)-> MRK 3:31	False
Jethro (Reuel), Moses' father-in-law	1	Male				EXO 2:18 <-(12 more)-> EXO 18:23	False
Jewish leaders	-1	Male					False
Jews from Asia	-1					ACT 21:28	False
Jews of Berea	-1				noble	ACT 17:11	False
Jews of Cyrene, Alexandria, Cilicia & Asia	-1					ACT 6:11	False
Jews who had been with Mary and Martha	-1					JHN 11:31 & JHN 11:36	False
Jews who had been with Mary and Martha, some	-1					JHN 11:37	False
Jews who had believed Jesus	-1					JHN 8:33 <-(1 more)-> JHN 8:41	False
Jews, God-fearing from every nation	-1					ACT 2:7 <-(4 more)-> ACT 2:12	False
Jews, God-fearing from every nation, some	-1					ACT 2:13	False
Jews, leaders of the (in Rome)	-1	Male				ACT 28:21 & ACT 28:22	False
Jews, many	-1					JHN 10:20	False
Jews, more than forty in conspiracy	-1	Male				ACT 23:12 <-(1 more)-> ACT 23:15	False
Jews, other	-1					JHN 10:21	False
Jews, the	-1	Male				EZR 5:4 <-(41 more)-> ROM 3:5	False
Jezebel	1	Female				1KI 19:2 <-(5 more)-> 2KI 9:31	False
Joab	1	Male				2SA 2:14 <-(34 more)-> 1CH 21:3	False
Joab's men, one of	1	Male				2SA 20:11	False
Joah	1	Male					False
Joash, father of Gideon (Jerubbaal)	1	Male				JDG 6:31 & JDG 6:32	False
Joash, king of Judah	1	Male				2KI 12:4 <-(3 more)-> 2CH 24:6	False
Job	1	Male				JOB 1:5 <-(509 more)-> JOB 42:6	False
Job's wife	1	Female				JOB 2:9	False
Joel saying what the priests should say	1	Male				JOL 2:17	True
Johanan	1	Male			son of Kareah	JER 40:15	False
John	1	Male				MRK 9:38 <-(5 more)-> JHN 21:20	False
John the Baptist	1	Male				MAT 3:2 <-(46 more)-> JHN 3:36	False
John, Alexander, and other men of the high priest's family	-1	Male					False
Jonadab	1	Male				2SA 13:4 <-(3 more)-> 2SA 13:35	False
Jonah	1	Male				JON 1:9 <-(13 more)-> JON 4:9	False
Jonathan	1	Male				1SA 14:1 <-(35 more)-> 1SA 23:17	False
Jonathan, son of Abiathar	1	Male				1KI 1:43 <-(4 more)-> 1KI 1:48	False
Jonathan's armor bearer	1	Male				1SA 14:7	False
Joram, king of Israel	1	Male				2KI 3:7 <-(16 more)-> 2KI 9:23	False
Joseph	1	Male				GEN 37:6 <-(84 more)-> EXO 13:19	False
Joseph of Arimathea	1	Male				MAT 27:58 <-(2 more)-> JHN 19:38	False
Joseph, people of	1	Male				JOS 17:14 & JOS 17:16	False
Joseph's brothers	11	Male			Different from Jacob's sons because it cannot be Joseph	GEN 37:8 <-(6 more)-> GEN 50:18	False
Joshua	1	Male	Adult			EXO 32:17 <-(65 more)-> JOS 22:8	False
Joshua (old)	1	Male	Elder			JOS 23:2 <-(32 more)-> JOS 24:27	False
Josiah, king of Judah	1	Male				2KI 22:4 <-(12 more)-> 2CH 35:23	False
Jotham, son of Gideon (Jerubbaal)	1	Male				JDG 9:7 <-(12 more)-> JDG 9:20	False
Judah	1	Male				GEN 37:26 <-(32 more)-> GEN 44:34	False
Judah, all	-1	Either			Personification of Judah as adulteress	JER 13:22	True
Judah, men of	-1	Male				JDG 1:3 <-(6 more)-> 2SA 19:42	False
Judah, people in	-1					NEH 4:10	False
Judaizers	-1	Male				GAL 6:12	False
Judas Iscariot	1	Male				MAT 26:15 <-(8 more)-> JHN 12:5	False
Judas, apostle (not Judas Iscariot)	1	Male				JHN 14:22	False
judge who says the wicked are innocent	1	Male				PRO 24:24	True
King Herod Agrippa II	1	Male				ACT 12:19 <-(3 more)-> ACT 26:32	False
King Lemuel	1	Male					False
King Lemuel's mother	1	Female					False
king	1	Male				PRO 25:7	True
king of the Ammonites	1	Male				JDG 11:13	False
king of Aram	1	Male				1KI 22:31 & 2CH 18:30	False
king of Assyria	1	Male				2KI 17:27 <-(1 more)-> ISA 10:14	False
king of Babylon	1	Male				ISA 14:13 & ISA 14:14	False
king of Bela	1	Male					False
king of Jericho	1	Male				JOS 2:3	False
king of Nineveh	1	Male				JON 3:7 <-(1 more)-> JON 3:9	False
kings of the earth	-1	Male				PSA 2:3 & REV 18:10	False
kings over the nations	-1	Male				ISA 14:10	True
kings, princes, generals, rich, powerful, slave and free	-1	Male				REV 6:16 & REV 6:17	False
kinsman-redeemer	1	Male				RUT 4:4 <-(1 more)-> RUT 4:8	False
Kish, father of Saul	1	Male				1SA 9:3	False
Korah	1	Male			son of Izhar, son of Kohath, son of Levi		False
Laban	1	Male				GEN 24:31 <-(23 more)-> GEN 31:53	False
Laban's sons	-1	Male				GEN 31:1	False
Lamech (descendent of Cain)	1	Male				GEN 4:23 & GEN 4:24	False
Lamech (descendent of Seth)	1	Male				GEN 5:29	False
leaders	-1	Male				EZR 9:1 & EZR 9:2	False
Leah	1	Female				GEN 29:32 <-(8 more)-> GEN 30:20	False
leper	1	Male				MAT 8:2 <-(1 more)-> LUK 5:12	False
leper, thankful Samaritan	1	Male				LUK 17:15 & LUK 17:16	False
lepers, ten	10	Male				LUK 17:13	False
letter from apostles and elders	1	PreferMale				ACT 15:23 <-(5 more)-> ACT 15:29	False
Levi	1	Male					False
Levite husband of concubine	1	Male				JDG 19:12 <-(7 more)-> JDG 20:7	False
Levite, young, from Bethlehem	1	Male	YoungAdult			JDG 17:9 <-(2 more)-> JDG 18:18	False
Levites	8	Male				NEH 8:11 <-(34 more)-> NEH 9:38	False
Levites, family heads of	-1	Male				JOS 21:2	False
living creature, first	1					REV 6:1	False
living creature, fourth	1					REV 6:7	False
living creature, second	1					REV 6:3	False
living creature, third	1					REV 6:5	False
lookout	1	Male				ISA 21:8 & ISA 21:9	False
lookout in Jezreel	1	Male				2KI 9:17 <-(1 more)-> 2KI 9:20	False
Lot	1	Male				GEN 19:2 <-(5 more)-> GEN 19:20	False
lover	1	Male				SNG 1:8 <-(53 more)-> SNG 8:13	False
Lydia	1	Female				ACT 16:15	False
Macedonian	1	Male				ACT 16:9	False
magi (wise men from East)	-1	Male				MAT 2:2	False
magicians	-1	Male				EXO 8:19	False
magistrates, chief	-1	Male				ACT 16:39	False
maidens	-1	Female	YoungAdult			SNG 1:4 <-(15 more)-> SNG 8:7	False
Makir	1	Male			son of Ammiel from Lo Debar		False
Malta islanders	-1					ACT 28:4 & ACT 28:6	False
man (at Shechem)	1	Male				GEN 37:15 & GEN 37:17	False
man (Hebrew fighting)	1	Male				EXO 2:14	False
man (hypothetical)	1	Male				ISA 3:6	True
man all alone	1	Male				ECC 4:8	True
man answered David	1	Male				2SA 11:3	False
man delivered from Legion of demons	1	Male			Account in Matthew 8 indicates that there were two men, but since other accounts only have 1, best to keep as single voice.	MRK 5:18 <-(1 more)-> LUK 8:38	False
man escaped from Jerusalem	1	Male				EZK 33:21	False
man from Saul's camp (young)	1	Male	YoungAdult			2SA 1:3 <-(6 more)-> 2SA 1:13	False
man in linen above river	1	Male				DAN 12:7 <-(4 more)-> DAN 12:13	False
man in linen with writing kit (in vision)	1	Male				EZK 9:11	False
man like bronze with measuring rod (vision of God)	1	Male				EZK 40:4 <-(13 more)-> EZK 47:12	False
man of Gibeah	1	Male				1SA 10:12	False
man of God (prophet to Amaziah)	1	Male				2CH 25:7 <-(1 more)-> 2CH 25:9	False
man of God (prophet to Eli)	1	Male				1SA 2:27 <-(8 more)-> 1SA 2:36	False
man of God from Judah	1	Male				1KI 13:2 <-(5 more)-> 1KI 13:17	False
man of lawlessness	1	Male				2TH 2:4	False
man possessed by evil spirit	1	Male				MRK 1:24 & LUK 4:34	False
man reporting to David	1	Male				2SA 13:30	False
man standing among myrtle trees	1	Male				ZEC 1:10	False
man who says 'I know him'	1	Male				1JN 2:4	True
man who says 'we remain in union with God'	1	Male				1JN 2:6	True
man with measuring line (vision)	1	Male				ZEC 2:2	False
man with sponge	1	Male				MRK 15:36	False
man, still another	1	Male				LUK 9:61	False
man, wicked	1	Male				PSA 10:6 <-(1 more)-> PSA 10:13	True
Manoah, father of Samson	1	Male				JDG 13:8 <-(4 more)-> JDG 13:22	False
Manoah's wife, mother of Samson	1	Female				JDG 13:6 <-(2 more)-> JDG 13:23	False
man's brother (hypothetical)	1	Male				ISA 3:7	True
man's voice from the Ulai (in vision)	1	Male				DAN 8:16	False
many in crowd	-1					MRK 9:26	False
many Samaritans	-1					JHN 4:40 & JHN 4:42	False
Martha	1	Female				LUK 10:40 <-(5 more)-> JHN 11:39	False
Mary Magdalene	1	Female				MRK 16:10 <-(5 more)-> JHN 20:18	False
Mary mother of James	1	Female					False
Mary, Jesus' mother	1	Female				LUK 1:29 <-(15 more)-> JHN 2:5	False
Mary, sister of Martha	1	Female				JHN 11:32	False
master of the banquet	1	Male				JHN 2:10	False
Melchizedek, king of Salem (priest of God Most High)	1	Male				GEN 14:19 <-(1 more)-> HEB 7:1	False
Memucan, noble advisor to Xerxes, king	1	Male				EST 1:16 <-(3 more)-> EST 1:20	False
men	-1	Male				PSA 58:11 & LAM 4:15	False
men (soldiers) standing near David	-1	Male				1SA 17:27	False
men appointed to sing and praise	-1	Male				2CH 20:21	False
men dressed in white, two (angels)	2	Male	Adult			ACT 1:11	False
men from Cornelius	3	Male				ACT 10:17 <-(1 more)-> ACT 10:22	False
men from Jairus' house	-1	Male				MRK 5:35 & LUK 8:49	False
men from Judea, some	-1	Male				ACT 15:1	False
men in Capernaum synagogue	-1	Male				MRK 1:27 & LUK 4:36	False
men in mourning, ten of eighty	10	Male				JER 41:8	False
men in Nazareth synagogue	-1	Male				MAT 13:54 <-(3 more)-> MRK 6:3	False
men of Anathoth	-1	Male				JER 11:21	False
men of Ashdod	-1	Male				1SA 5:7 & 1SA 5:8	False
men of Babel	-1	Male				GEN 11:3 & GEN 11:4	False
men of Bethel	-1	Male				2KI 23:17	False
men of David	-1	Male				2SA 18:3	False
men of David, one	1	Male				2SA 18:10 <-(1 more)-> 2SA 18:13	False
men of Enaim	-1	Male				GEN 38:21	False
men of Gerar	-1	Male				GEN 26:7	False
men of Gennesaret	-1	Male				MAT 14:35	False
men of Jabesh	-1	Male				1SA 11:1 & 1SA 11:10	False
men of Jericho	-1	Male				2KI 2:19	False
men of Sodom (wicked)	-1	Male				GEN 19:5 & GEN 19:9	False
men who have gone astray	-1	Male				2TI 2:18	False
men with leprosy, four	4	Male				2KI 7:3 <-(2 more)-> 2KI 7:10	False
men, large force of	-1	Male				2CH 32:4	False
men, many	-1	Male				PSA 4:6	False
men, other	-1	Male					False
men, some	-1	Male				2CH 20:2 & 2CH 22:9	False
men, still others	-1	Male					False
Mephibosheth, son of Jonathan	1	Male				2SA 9:6 <-(4 more)-> 2SA 19:30	False
merchants of the earth	-1	PreferMale				REV 18:14 <-(2 more)-> REV 18:17	False
Meshach	1	Male			original Hebrew name: Mishael		False
message from Tamar, daughter-in-law of Judah	1	PreferFemale				GEN 38:25	False
message to Saul	1	Male				1SA 19:19	False
messenger	-1					2CH 18:12 <-(3 more)-> JER 20:15	False
messenger from battle to David	1	Male				2SA 11:23 & 2SA 11:24	False
messenger from guardians of Ahab's children	1	Male				2KI 10:8	False
messenger of Ahab, king of Israel	1	Male				1KI 22:13	False
messenger to Abimelech	1	Male				JDG 9:47	False
messenger to Abraham	1	Male				GEN 22:20 <-(1 more)-> GEN 22:22	False
messenger to David	1	Male				2SA 15:13	False
messenger to king of Jericho	1	Male				JOS 2:2	False
messenger to Saul	1	Male				1SA 23:27	False
messenger, another	1	Male				JOB 1:16	False
messenger, Cushite	1	Male				2SA 18:31 & 2SA 18:32	False
messenger, still another	1					JOB 1:17	False
messenger, yet another	1					JOB 1:18 & JOB 1:19	False
messengers from Jephthah	-1	PreferMale				JDG 11:12 <-(12 more)-> JDG 11:27	False
messengers Israel sent to Amorite king Sihon	-1	PreferMale				NUM 21:22	False
messengers Moses sent to king of Edom	-1	Male				NUM 20:14 <-(3 more)-> NUM 20:19	False
messengers of Ahaziah	-1	Male				2KI 1:6 & 2KI 1:8	False
messengers of Ben-Hadad. king of Aram	-1	Male				1KI 20:2 <-(3 more)-> 1KI 20:10	False
messengers of Jabesh	-1	Male				1SA 11:9	False
messengers of Saul	-1	Male				1SA 11:7	False
messengers sent by Jacob	-1	Male				GEN 32:6	False
messengers to Jezebel	-1	Male				1KI 21:14	False
messengers to Joab	-1	PreferMale				2SA 3:23	False
messengers to Saul	-1	PreferMale				1SA 14:33	False
Micah	1	Male				JDG 17:2 <-(10 more)-> MIC 3:8	False
Micah's mother	1	Female				JDG 17:2 & JDG 17:3	False
Micaiah, prophet of the LORD	1	Male				1KI 22:14 <-(18 more)-> 2CH 18:27	False
Michael, archangel	1	Male				JUD 1:9	False
Michal, David's wife	1	Female				1SA 19:11 <-(2 more)-> 2SA 6:20	False
Midianite soldier who had a dream	1	Male				JDG 7:13	False
Midianite soldier who interprets dream	1	Male				JDG 7:14	False
midwife of Rachel	1	Female				GEN 35:17	False
midwife of Tamar, daughter-in-law of Judah	1	Female				GEN 38:28 & GEN 38:29	False
Miriam	1	Female	Adult			EXO 15:21	False
Miriam (young)	1	Female	Child			EXO 2:7	False
Moabite officials	-1	Male				NUM 22:14	False
Moabite officials, more distinguished	-1	Male				NUM 22:16 & NUM 22:17	False
Moabites	-1	Male				NUM 22:4 <-(2 more)-> ISA 16:4	False
Moabitesses (female)	-1	Female				ISA 16:3 & ISA 16:4	True
mob	-1	PreferMale				ACT 17:6 & ACT 17:7	False
molded thing	1					ROM 9:20	True
Mordecai, cousin of Esther	1	Male				EST 4:13 & EST 4:14	False
Moses	1	Male				EXO 2:13 <-(1145 more)-> NEH 8:15	False
mother of cured man, blind from birth	1	Female					False
mother of the sons of Zebedee (James and John)	1	Female				MAT 20:20 & MAT 20:21	False
multitude from all nations, tribes, peoples, languages	-1					REV 7:10	False
musicians	-1					PSA 87:7	False
Naaman	1	Male				2KI 5:4 <-(6 more)-> 2KI 5:23	False
Naaman's servants	-1	Male				2KI 5:4 & 2KI 5:13	False
Nabal	1	Male				1SA 25:10 & 1SA 25:11	False
Naboth	1	Male				1KI 21:3 & 1KI 21:4	False
Nahash the Ammonite	1	Male				1SA 11:2	False
Naomi	1	Female				RUT 1:8 <-(16 more)-> RUT 3:18	False
Nathan	1	Male				2SA 7:3 <-(20 more)-> 1CH 17:2	False
Nathanael	1	Male				JHN 1:46 <-(1 more)-> JHN 1:49	False
nations	-1					DEU 4:6 <-(7 more)-> MIC 4:11	False
Nebuchadnezzar, king of Babylon	1	Male				JER 39:12 <-(37 more)-> DAN 4:37	False
Nebuzaradan	1	Male				JER 39:12 <-(3 more)-> JER 40:5	False
Neco, king of Egypt	1	Male				2CH 35:21	False
Nehemiah	1	Male				NEH 1:1 <-(124 more)-> NEH 13:31	False
neighbors and relatives of Elizabeth and Zacharias (Zechariah)	-1	Either				LUK 1:58 <-(2 more)-> LUK 1:62	False
neighbors of man blind from birth	-1					JHN 9:8 <-(1 more)-> JHN 9:12	False
neighbors of man blind from birth, others	-1					JHN 9:9	False
neighbors of man blind from birth, some	-1					JHN 9:9	False
news giver to Jacob	1	Male				GEN 48:2	False
news giver to Joseph	1	Male				GEN 48:1	False
news to Pharoah's palace	1					GEN 45:16	False
Nicodemus	1	Male				JHN 3:2 <-(2 more)-> JHN 7:51	False
Nineveh	-1	Female			The text personifies the city using female pronouns	NAM 2:8 & ZEP 2:15	False
no one	1					ACT 4:32 & JAS 1:13	True
no one speaking by the Holy Spirit	1					1CO 12:3	True
Noah	1	Male				GEN 9:25 <-(1 more)-> GEN 9:27	False
nobles and officials (Jewish)	-1	Male				NEH 5:12	False
non-reader	1					ISA 29:12	False
Obadiah, manager of Ahab's palace	1	Male				1KI 18:7 <-(5 more)-> 1KI 18:14	False
Oded, prophet of the Lord	1	Male				2CH 28:9 <-(1 more)-> 2CH 28:11	False
officer of King Jehoshaphat of Israel	1	Male				2KI 3:11	False
officer of King Joram of Israel	1	Male				2KI 7:13	False
officer of king of Israel, on whose arm the king leaned	1	Male				2KI 7:2 & 2KI 7:19	False
officers	-1	Male				DEU 20:5 <-(3 more)-> ACT 5:23	False
officers of king of Aram	-1	Male				2KI 6:12	False
officers of magistrates	-1	Male				ACT 16:35	False
officers of temple guard	-1	Male					False
official, royal (father)	1	Male				JHN 4:47 <-(1 more)-> JHN 4:52	False
officials	-1	Male					False
officials from chief priests and Pharisees	-1	Male					False
officials of Ben-Hadad, king of Aram	-1	Male				1KI 20:23 <-(4 more)-> 1KI 20:33	False
officials of David	-1	Male				2SA 15:15	False
officials of high priest, one of the	1	Male				JHN 18:22	False
officials of Samaria	-1	Male				2KI 10:4 & 2KI 10:5	False
officials of Succoth	-1	Male				JDG 8:6	False
officials of Trans-Euphrates	-1	Male					False
officials, Ephesus (friends of Paul)	-1	Male				ACT 19:31	False
officials, royal, to Xerxes, king	-1	Male				EST 3:3	False
old man in Gibeah	1	Male	Elder			JDG 19:17 <-(2 more)-> JDG 19:24	False
old prophet in Bethel	1	Male	Elder			1KI 13:12 <-(9 more)-> 1KI 13:32	False
older daughter of Lot	1	Female				GEN 19:31 <-(1 more)-> GEN 19:34	False
On	1	Male			son of Peleth (Reubenite)		False
one at table of Pharisee (expert in religious law)	1	Male				LUK 14:15	False
one of you	-1					ROM 9:19 & JAS 2:16	True
one other who looked like a man	1	Male				DAN 12:6	False
one who allowed Paul to live by himself	-1	Male				ACT 28:16	False
one who brings good news	-1	PreferMale				ISA 40:9 & ISA 52:7	True
one who looked like a man	1	Male				DAN 10:11 <-(54 more)-> DAN 12:4	False
one with garments stained crimson (Christ?)	1	Male			Default character should be Jesus	ISA 63:1 <-(3 more)-> ISA 63:6	False
onlookers	-1					ISA 14:16 & ISA 14:17	True
only someone speaking by the Holy Spirit	1					1CO 12:3	True
oppressors of poor	-1					AMO 8:5 & AMO 8:6	True
Orpah	1	Female					False
other guests at Pharisee (Simon)'s house	-1	Male				LUK 7:49	False
others	-1					ISA 43:9	True
others (testing Jesus)	-1					LUK 11:16	False
others who would not believe	-1	Male				ACT 28:24 & ACT 28:25	False
owners of colt	-1	PreferMale				MRK 11:5 & LUK 19:33	False
owners of fortune telling slave girl	-1	Male				ACT 16:20 & ACT 16:21	False
parents of cured man, blind from birth	2	Either			May want to assign one or more of these lines to female, as appropriate	JHN 9:20 <-(2 more)-> JHN 9:23	False
parents of rebellious son	2	Either				DEU 21:20	True
Pashur	1	Male			son of Malkijah		False
passers by	-1					LAM 2:15 <-(2 more)-> MRK 15:30	False
Paul	1	Male				ACT 9:1 <-(189 more)-> 1TH 5:27	False
Paul's traveling companions, Luke and	-1					ACT 21:14	False
people	-1					2CH 26:23 <-(18 more)-> 1TH 5:3	False
people at cistern	-1					1SA 19:22	False
people at coronation of King Joash	-1					2KI 11:12	False
people at Jairus' house	-1					MAT 9:24 & LUK 8:53	False
people in Capernaum	-1					MRK 1:30 & MRK 2:1	False
people in crowd by Sea of Galilee	-1					JHN 6:14 <-(3 more)-> JHN 6:34	False
people in high priest's courtyard	-1	Either			Group consisted of at least a servant girl and a man	JHN 18:25	False
people in Jericho, all the	-1					LUK 19:7	False
people in Pisidian Antioch synagogue	-1					ACT 13:42	False
people in temple courts, all the	-1					ACT 3:10	False
people in the temple	-1					LUK 20:16	False
people near Jordan River	-1					LUK 3:15 & JHN 10:41	False
people of Decapolis	-1					MRK 7:32 <-(1 more)-> MRK 7:37	False
people of Jerusalem	-1					JER 4:13 <-(3 more)-> MAT 21:10	False
people of Jerusalem, some	-1					JHN 7:25 <-(1 more)-> JHN 7:27	False
people of Samaria, all the	-1					ACT 8:10	False
people of Tyre and Sidon	-1					ACT 12:22	False
people praying at John Mark's mother's house	-1					ACT 12:15	False
people who had known Saul	-1					1SA 10:11	False
people who saw healing of demon-possessed man who was blind and mute	-1					MAT 12:23	False
people, all the	-1					1KI 1:39 <-(7 more)-> LUK 7:29	False
people, arrogant wicked	-1					PSA 73:11	False
people, God's	-1					ISA 25:9	True
people, hurried	-1					ISA 5:19	True
people, Israel, tribes of	-1					2SA 19:9 & 2SA 19:10	False
people at Gennesaret (sick)	-1					MAT 14:36 & MRK 6:56	False
people, other	-1					MRK 6:15 & LUK 9:8	False
people, righteous	-1					PSA 52:7 & PSA 92:15	True
people, some	-1					MRK 2:18 <-(2 more)-> LUK 13:1	False
people, still others	-1					MRK 6:15	False
peoples, many	-1					ISA 2:3	True
person asking someone to read a sealed book	1	Male				ISA 29:11 & ISA 29:12	True
person claiming to have a pure heart	1	Either				PRO 20:9	True
person near Lazarus' grave who informed Jesus	1					JHN 11:17	False
person sacrificing	1					1SA 2:16	False
person who informed Judah	1					GEN 38:24	False
