#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference Comment	Hypothetical Only
Apollos	1	Male	Adult			ACT 18:28	False
apostles	11	Male	Adult		Not Judas Iscariot	LUK 17:5 <-(8 more)-> JUD 1:18	False
apostles, elders, and whole church at Jerusalem	-1		Adult			ACT 15:22	False
Aramean soldiers	-1	Male	Adult			2KI 7:6	False
Araunah, the Jebusite	1	Male	Adult			2SA 24:21 <-(2 more)-> 1CH 21:23	False
Arioch	1	Male	Adult			DAN 2:25	False
army cry	-1	Male	Adult			1KI 22:36	False
army officer, one of	1	Male	Adult			2KI 9:11	False
army officers	-1	Male	Adult			2KI 9:12 & 2KI 9:13	False
arrogant men	-1	Male	Adult				False
Artaxerxes, king of Persia	1	Male	Adult			EZR 4:17 <-(24 more)-> NEH 5:14	False
Asa, king of Judah	1	Male	Adult			1KI 15:19 <-(2 more)-> 2CH 16:3	False
Asahel, brother of Joab	1	Male	Adult			2SA 2:20	False
Asaph	1	Male	Adult			PSA 74:8 <-(3 more)-> PSA 77:10	False
assembly, whole	-1		Adult			EZR 10:12 <-(2 more)-> NEH 5:13	False
astrologers	-1	Male	Adult			DAN 2:4 <-(6 more)-> DAN 3:12	False
Athaliah, mother of Ahaziah (Queen)	1	Female	Adult			2KI 11:14 & 2CH 23:13	False
attendants to Xerxes, king	-1	Male	Adult			EST 2:2 <-(3 more)-> EST 6:5	False
attendents of Phineas' wife	-1	Female	Adult			1SA 4:20	False
authorities, governing	-1	Male	Adult			ROM 13:3	False
authorities, Philippi	-1	Male	Adult			ACT 16:22 & ACT 16:23	False
Azariah the chief priest (during reign of Hezekiah)	1	Male			from the family of Zadok	2CH 31:10	False
Azariah the priest (during reign of Uzziah)	1	Male					False
Azariah, son of Hoshaiah	1	Male					False
Azariah, son of Jehohanan	1	Male			leader in Ephraim		False
Azariah, son of Oded	1	Male				2CH 15:2 <-(4 more)-> 2CH 15:7	False
Baanah	1	Male					False
Babylon	1		Adult			REV 18:7	False
Balaam	1	Male	Adult			NUM 22:8 <-(46 more)-> NUM 24:24	False
Balak	1	Male	Adult			NUM 22:5 <-(8 more)-> NUM 24:11	False
Barak	1	Male	Adult			JDG 4:8	False
Barnabas	1	Male	Adult			ACT 9:27 <-(1 more)-> ACT 15:37	False
Bartimaeus (a blind man)	1	Male	Adult			MRK 10:46 <-(8 more)-> LUK 18:43	False
Baruch	1	Male	Adult			JER 36:18	False
Barzillai	1	Male	Adult		Gileadite		False
Barzillai (old)	1	Male	Elder		Gileadite	2SA 19:34 <-(2 more)-> 2SA 19:37	False
Bathsheba	1	Female	Adult			2SA 11:5 <-(11 more)-> 1KI 2:21	False
beast from out of the earth	1		Adult			REV 13:14	False
believers who came with Peter	-1	Male	Adult			ACT 10:45	False
believers who were Pharisees	-1	Male	Adult			ACT 15:5	False
believers, circumcised (in Jerusalem)	-1	Male	Adult			ACT 11:3 & ACT 11:18	False
believers, one hundred twenty	120	PreferMale	Adult		Probably spoken by Peter or one of the other eleven disciples	ACT 1:24 & ACT 1:25	False
beloved	1	Female	Adult			SNG 1:2 <-(68 more)-> SNG 8:14	False
Belshazzar, king of Babylon	1	Male	Adult			DAN 5:7 <-(3 more)-> DAN 5:16	False
Benaiah, son of Jehoiada	1	Male				1KI 1:36 <-(1 more)-> 1KI 2:30	False
Ben-Hadad, king of Aram	1	Male				1KI 20:12 <-(8 more)-> 2KI 8:14	False
Benjamin	1	Male					False
Benjamite messenger to Eli	1	Male				1SA 4:16 & 1SA 4:17	False
Benjamites	-1					JDG 20:32 & JDG 20:39	False
Bera, king of Sodom	1	Male				GEN 14:21	False
Berekiah	1	Male			leader in Ephraim		False
Bernice	1	Female					False
Beth Shemesh, men of	-1	Male				1SA 6:20	False
Beth Shemesh, messenger from	1	PreferMale				1SA 6:21	False
Bethlehem, elders of	-1	Male	Elder			1SA 16:4	False
Bethuel, Rebekah's father	1	Male	Adult				False
Bildad the Shuhite	1	Male				JOB 8:2 <-(44 more)-> JOB 25:6	False
Birsha, king of Gomorrah	1	Male					False
blind man	1	Male	Adult			MRK 8:24	False
blind men, two	2	Male	Adult			MAT 9:27 <-(3 more)-> MAT 20:33	False
Boaz	1	Male	Adult			RUT 2:4 <-(21 more)-> RUT 4:10	False
Book of the Wars of the LORD	1	PreferMale	Adult			NUM 21:14 & NUM 21:15	False
boys	-1	Male	Child			2KI 2:23	False
bride, the (referring to the Church)	-1	PreferFemale	Adult				False
brother-in-law of widow	1	Male	Adult			DEU 25:8	True
brothers at Antioch	-1	Male	Adult			ACT 15:33 & ACT 15:40	False
brothers at Ephesus	-1	Male	Adult			ACT 18:27	False
brothers at Lystra and Iconium	-1	Male	Adult			ACT 16:2	False
brothers at Puteoli	-1	Male	Adult			ACT 28:14	False
brothers at Rome	-1	Male	Adult			ACT 28:15	False
brothers at Thessalonica	-1	Male	Adult			ACT 17:10	False
brothers of beloved	-1	Male	Adult			SNG 8:8 & SNG 8:9	False
buyer	1	Either	Adult			PRO 20:14	True
bystanders at Calvary, some	-1		Adult			MAT 27:47 & MRK 15:35	False
bystanders at Calvary, the rest	-1		Adult			MAT 27:49	False
Caesar Augustus	1	Male	Adult			LUK 2:1	False
Caiaphas, the high priest	1	Male	Adult			MAT 26:62 <-(10 more)-> JHN 18:14	False
Cain	1	Male	Adult			GEN 4:8 <-(2 more)-> GEN 4:14	False
Caleb	1	Male	Adult			NUM 13:30 <-(10 more)-> JDG 1:14	False
Canaanite (Syrophoenician) mother of possessed girl	1	Female	Adult			MAT 15:22 <-(3 more)-> MRK 7:28	False
Canaanites	-1		Adult			GEN 50:11	False
captain of ship to Italy (Rome)	1	Male	Adult				False
captain of ship to Tarshish	1	Male	Adult			JON 1:6 <-(4 more)-> JON 1:14	False
captain of the temple guard	1	Male	Adult				False
captain, first	1	Male	Adult			2KI 1:9	False
captain, second	1	Male	Adult			2KI 1:11	False
captain, third	1	Male	Adult			2KI 1:13 & 2KI 1:14	False
captors, our	-1		Adult			PSA 137:3	False
centurion at crucifixion	1	Male	Adult			MAT 27:54 <-(1 more)-> LUK 23:47	False
centurion at Paul's flogging	1	Male	Adult			ACT 22:26	False
centurion on ship with Paul	1	Male	Adult			ACT 27:43	False
centurion summoned by Pilate	1	Male	Adult			MRK 15:45	False
centurion with great faith	1	Male	Adult			MAT 8:6 <-(4 more)-> LUK 7:8	False
centurion, one of the	1	Male	Adult			ACT 23:18	False
chariot commanders of Aram	-1	Male	Adult			1KI 22:32 & 2CH 18:31	False
chief baker of Egypt	1	Male	Adult			GEN 40:16 & GEN 40:17	False
chief cupbearer of Egypt	1	Male	Adult			GEN 40:9 <-(6 more)-> GEN 41:13	False
chief official	1	Male				DAN 1:10	False
chief priests	-1	Male				MAT 27:6 <-(6 more)-> JHN 19:21	False
chiefs of 10 tribes	10	Male			not Reuben, Gad, half tribe of Manasseh		False
children	-1		Child			MAT 21:15	False
children of excellent wife	-1		Child			PRO 31:28	False
children of Zion (Jerusalem)	-1		Child			LAM 2:12 & LAM 4:4	False
citizens of Shechem	-1		Adult			JDG 9:3	False
city clerk of Ephesus	1	Male	Adult			ACT 19:35 <-(5 more)-> ACT 19:41	False
Claudius	1	Male	Adult			ACT 18:2	False
Cleopas	1	Male	Adult			LUK 24:18	False
Cleopas' companion (on road to Emmaus)	1	Either	Adult				False
collectors of temple tax	-1	Male	Adult			MAT 17:24	False
commander of Roman troops in Jerusalem	1	Male	Adult			ACT 21:33 <-(17 more)-> ACT 23:30	False
commander of the LORD's army	1	Male	Adult		Default character should be Jesus	JOS 5:14 & JOS 5:15	False
company of the prophets	-1		Adult			2KI 4:40 <-(3 more)-> 2KI 6:5	False
company of the prophets (Bethel)	-1		Adult			2KI 2:3	False
company of the prophets (Jericho)	-1		Adult			2KI 2:5 <-(1 more)-> 2KI 2:16	False
company of the prophets, one of (the LORD says) (young man)	1	Male	YoungAdult			2KI 9:6 <-(3 more)-> 2KI 9:10	False
company of the prophets, one of (young man)	1	Male	YoungAdult			2KI 9:5	False
conquerors of beast, image & his name	-1		Adult			REV 15:3 & REV 15:4	False
conquerors of Lo Debar	-1	Male	Adult			AMO 6:13	True
Cornelius	1	Male	Adult			ACT 10:4 <-(4 more)-> ACT 10:48	False
council of elders	-1	Male	Elder				False
craftsman	1	Male	Adult			EXO 36:5 <-(4 more)-> ISA 44:20	False
craftsmen and workmen	-1	Male	Adult			ACT 19:28 <-(1 more)-> ACT 19:34	False
Cretan prophet	1	Male				TIT 1:12	False
criminal on cross, insulting	1	Male	Adult			LUK 23:39	False
criminal on cross, repentant	1	Male	Adult			LUK 23:40 <-(1 more)-> LUK 23:42	False
crippled man	1	Male	Adult			ACT 3:3 & ACT 3:5	False
crowd	-1		Adult			MAT 9:8 <-(16 more)-> ACT 21:36	False
crowd after mute healed	-1		Adult			MAT 9:33	False
crowd at Festival of Tabernacles in Jerusalem, many in the	-1		Adult			JHN 7:31	False
crowd at Festival of Tabernacles in Jerusalem, others	-1		Adult			JHN 7:12 & JHN 7:41	False
crowd at Festival of Tabernacles in Jerusalem, some	-1		Adult			JHN 7:12 & JHN 7:40	False
crowd at Festival of Tabernacles in Jerusalem, still others	-1		Adult			JHN 7:41 & JHN 7:42	False
crowd at Festival of Tabernacles in Jerusalem, the	-1		Adult			JHN 7:20	False
crowd at Jericho	-1		Adult			MAT 20:30 <-(3 more)-> LUK 19:11	False
crowd before Pilate	-1		Adult			MAT 27:21 <-(7 more)-> LUK 23:21	False
crowd in Jerusalem	-1		Adult			ACT 22:22 & ACT 22:24	False
crowd in Jerusalem on Pentecost	-1		Adult			ACT 2:37	False
crowd in Lystra	-1		Adult			ACT 14:11	False
crowd near sea of Galilee	-1		Adult			MAT 15:31	False
crowd preparing for Passover Feast	-1		Adult			MAT 21:9 <-(5 more)-> JHN 12:34	False
crowd preparing for Passover Feast, others	-1		Adult			JHN 12:29	False
crowd, large (witnessed healing of widow's son)	-1		Adult			LUK 7:16	False
crowd, many in the	-1		Adult			MAT 20:31 <-(1 more)-> LUK 18:39	False
crowd, some in	-1		Adult			LUK 11:15	False
cured man, blind from birth	1	Male	Adult			JHN 9:9 <-(11 more)-> JHN 9:38	False
Cyrus, king of Persia	1	Male	Adult			2CH 36:23 <-(2 more)-> EZR 1:4	False
Dan	1	Male	Adult				False
Daniel	1	Male	Adult			DAN 1:12 <-(94 more)-> DAN 10:19	False
Danites	-1		Adult			JDG 18:2 <-(2 more)-> JDG 18:25	False
Darius, king of Medes and Persians	1	Male	Adult			EZR 6:1 <-(16 more)-> DAN 6:27	False
Dathan	1	Male			son of Eliab (Reubenite)		False
daughter of Zion	1	Female				JER 4:31 <-(14 more)-> LAM 2:22	False
